id,fname,lname,salary,bdate,email,dep,phone1,phone2,image,gender
1,Iso,Pomo,10000,1960-01-01,iso.pomo@firma.fi,1,12545054,65665661,images/employees/m1.png,0
2,Make,Myyjä,2500,1966-06-16,make.myyja@gmail.com,2,34534524,65465464,images/employees/m2.png,0
3,Maiju,Myyjä,2500,1970-04-15,maiju.myyja@hotmail.com,2,32232353,56546243,images/employees/f1.png,1
4,Mike,Markkinoija,3000,1980-06-19,mike.markkinoija@firma.fi,3,76565574,65435334,images/employees/m3.png,0
5,Masa,Markkina,3000,1977-04-13,masa.markkina@gmail.com,3,52545054,NULL,images/employees/m4.png,0
6,Tiina,Tuote,2500,1965-05-25,tiina.tuote@hotmail.com,4,46545054,NULL,images/employees/f2.png,1
7,Taisto,Tähdellinen,2800,1955-11-11,taisto.tahdellinen@firma.fi,4,57545054,NULL,images/employees/m5.png,0
8,Jaana,Jämäkkä,3250,1979-06-01,jaana.jamakka@gmail.com,4,43545054,NULL,images/employees/f3.png,1
9,Ismo,Insinööri,2600,1957-06-05,ismo.insinoori@firma.fi,4,34534054,NULL,images/employees/m6.png,0
10,Peke,Pomo,3250,1990-10-01,peke.pomo@hotmail.com,5,65545054,NULL,images/employees/m7.png,0
11,Taavi,Tanakka,2000,1985-03-03,taavi.tanakka@firma.fi,5,35345054,NULL,images/employees/m8.png,0
12,Maija,Mainio,2200,1975-07-06,maija.mainio@hotmail.com,5,12564654,NULL,images/employees/f4.png,1
13,Mikko,Meikäläinen,2250,1986-03-21,mikko.meikalainen@firma.fi,5,12523654,NULL,images/employees/m9.png,0
14,Satu,Särmä,2300,1983-03-02,satu.sarma@gmail.com,5,12235054,NULL,images/employees/f5.png,1
15,Heikki,Häijy,2700,1970-01-21,heikki.haijy@firma.fi,5,12465054,12236054,images/employees/m10.png,0
